fraser_annings_conservative_national_party_ordinary_votes, socialist_alliance_ordinary_votes, labor_ordinary_votes, latitude, longitude,post_code, polling_place_name, state, division_name, australian_democrats_ordinary_votes, non_affiliated_candidates_ordinary_votes, the_greens_ordinary_votes, national_party_ordinary_votes, australian_progressives_ordinary_votes, christian_democratic_party_fred_nile_group_ordinary_votes, centre_alliance_ordinary_votes, australian_workers_party_ordinary_votes, western_australia_party_ordinary_votes, division_id, liberal_democrats_ordinary_votes, liberal_ordinary_votes, the_nationals_ordinary_votes, australia_first_party_ordinary_votes, polling_place_id, united_australia_party_ordinary_votes, informal_ordinary_votes, katters_australian_party_kap_ordinary_votes, polling_place_type_id, socialist_equality_party_ordinary_votes
null,null,123,-33.8224262,151.2325467,2088,Mosman North (North Sydney),NSW,North Sydney,null,null,75,null,null,6,null,null,null,137,null,293,null,null,81369,4,23,null,1,null
null,null,null,-35.2445,149.145,2602,Downer,ACT,Canberra,null,null,422,null,22,null,null,null,null,101,null,169,null,null,82525,22,25,null,1,null
null,null,245,-33.8753,151.226,2011,Kings Cross Central (Sydney),NSW,Sydney,null,null,106,null,null,5,null,null,null,149,null,123,null,null,82572,9,17,null,1,null
null,null,null,-34.9538,138.591,5034,Goodwood Park,SA,Adelaide,12,null,125,null,null,null,null,null,null,179,null,335,null,null,82875,5,10,null,1,null
null,null,null,-34.90603,138.608531,5006,Lower North Adelaide (Adelaide),SA,Adelaide,16,null,150,null,null,null,null,null,null,179,null,439,null,null,82879,21,14,null,1,null
null,null,null,-34.8876,138.616,5081,Walkerville North,SA,Adelaide,5,null,81,null,null,null,null,null,null,179,null,315,null,null,82880,16,22,null,1,null
null,null,null,-37.8093711,144.9956606,3067,Abbotsford South,VIC,Melbourne,null,null,null,null,null,null,null,null,null,228,null,170,null,null,82957,9,38,null,1,null
null,null,196,-33.825932,151.183116,2065,Greenwich,NSW,North Sydney,null,null,109,null,null,17,null,null,null,137,null,341,null,null,82975,8,17,null,1,null
null,null,327,-33.9125868,151.2003836,2015,Beaconsfield,NSW,Sydney,null,null,123,null,null,19,null,null,null,149,null,189,null,null,82983,14,20,null,1,null
null,null,300,-33.8884,151.194,2008,Darlington Central,NSW,Sydney,null,null,169,null,null,6,null,null,null,149,null,81,null,null,82984,4,17,null,1,null
null,null,649,-33.8993821,151.1838362,2043,Erskineville North,NSW,Sydney,null,null,233,null,null,4,null,null,null,149,null,146,null,null,82985,11,27,null,1,null
null,null,364,-33.8719,151.227,2011,Elizabeth Bay (Sydney),NSW,Sydney,null,null,137,null,null,6,null,null,null,149,null,217,null,null,82989,10,35,null,1,null
null,null,null,-31.9126,115.885,6052,Inglewood North,WA,Perth,null,null,null,null,null,null,null,null,7,245,null,184,null,null,83382,9,23,null,1,null
7,6,null,-27.4196155,152.9992508,4051,Alderley,QLD,Brisbane,null,null,188,null,null,null,null,null,null,156,null,null,null,null,83397,15,28,null,1,null
8,5,null,-27.4190191,153.0509757,4011,Clayfield Central,QLD,Brisbane,null,null,186,null,null,null,null,null,null,156,null,null,null,null,83407,12,28,null,1,null
null,null,168,-32.9238,151.748,2303,Hamilton Central,NSW,Newcastle,null,null,104,null,null,8,null,null,null,136,null,104,null,null,83432,12,22,null,1,null
null,null,4628,-32.898,151.668,2287,Wallsend PPVC,NSW,Newcastle,null,null,695,null,null,205,null,null,null,136,null,2669,null,null,83436,455,535,null,5,null
null,null,null,-34.9292559,138.5879639,5000,Adelaide West,SA,Adelaide,11,null,197,null,null,null,null,null,null,179,null,189,null,null,83454,11,22,null,1,null
null,null,null,-34.8954,138.596,2148,Prospect West,SA,Adelaide,13,null,198,null,null,null,null,null,null,179,null,608,null,null,83475,38,43,null,1,null
null,null,240,-33.7971457,151.1961326,2068,Willoughby South,NSW,North Sydney,null,null,121,null,null,41,null,null,null,137,null,503,null,null,83554,16,39,null,1,null
null,null,53,-33.8258501,151.2177322,2062,Cammeray Central,NSW,North Sydney,null,null,46,null,null,1,null,null,null,137,null,128,null,null,83555,2,2,null,1,null
null,null,238,-33.8044,151.171,2067,Lane Cove North Central,NSW,North Sydney,null,null,109,null,null,11,null,null,null,137,null,435,null,null,83556,14,35,null,1,null
null,null,513,-33.7957255,151.197905,2068,Willoughby PPVC,NSW,North Sydney,null,null,221,null,null,43,null,null,null,137,null,1400,null,null,83648,46,83,null,5,null
