tweetText,tweetCreated,userLocation,Coordinates,TweetPlace
"This is incredibly shocking. An Australian woman activist, unlawfully detained, on trumped up accusations- most lik… https://t.co/Tkc3dhAV8L",2021-04-29 23:15:32,Wurundjeri Land,[145.05313534 -37.97256651],"Melbourne, Victoria"
Ok.  It’s time to wake up Australia.  #ScottyFromMarketing and his crew only help their rich mates.  Time for a… https://t.co/4TrXhgzX81,2021-04-29 22:12:13,Wurundjeri Land,[145.05313534 -37.97256651],"Melbourne, Victoria"
"@tegangeorge @10NewsFirst Election must be in the air, it’s their modus operandi I mean what did Morrison say in 20… https://t.co/G2rnKS5KPb",2021-04-29 22:04:31,"Sunshine Coast, Queensland",[153.07415686 -26.6064825 ],"Sunshine Coast, Queensland"
What a joke. #ScottyFromMarketing stood in the lodge in a pair of white thongs and board shorts.  He continues to m… https://t.co/ZAb3gWO7Ty,2021-04-29 21:35:35,Wurundjeri Land,[145.05313534 -37.97256651],"Melbourne, Victoria"
"Woke up to see Harold Holt trending. Turns out #ScottyFromMarketing just went for a swim...

#auspol",2021-04-29 20:10:32,"Melbourne, Australia",[145.05313534 -37.97256651],"Melbourne, Victoria"
"@LennaLeprena The problem is, historically, #scottyfrommarketing fails upwards.",2021-04-29 19:40:26,Bolwarra,[151.58967032 -32.74788   ],"Maitland (NSW), New South Wales"
If everything is God’s will what’s the point of seeking temporal power?  Surely it means that PM Morrison has no co… https://t.co/BUsGQzWeer,2021-04-29 08:39:01,Sydney,[151.22082906 -33.87934449],"Darlinghurst, Sydney"
"@OneShot99006792 @Therese_Rein @YaThinkN I think the terms ""slowmo"" or ""no-mo"" could be included into this lexicon. #ScottyFromMarketing",2021-04-29 02:57:12,"Helensvale, Gold Coast. Qld.",[153.36936147 -27.95422176],"Gold Coast, Queensland"
"@mel_giancarlo @Therese_Rein Useless? Agreed! I also suggest the  terms ""inert"", ""uncaring"" and ""waste of space"". #ScottyFromMarketing",2021-04-29 02:52:37,"Helensvale, Gold Coast. Qld.",[153.36936147 -27.95422176],"Gold Coast, Queensland"
"https://t.co/rQVmTEp3li Regina Jefferies and Jane McAdam :, “Bring them home: both the law and moral duty demand we… https://t.co/r6320y7s6k",2021-04-28 23:36:46,Australia,[150.9319748 -33.848244 ],"Sydney, New South Wales"
