tweetText,tweetCreated,userLocation,Coordinates,TweetPlace
Housing for people escaping violence is totally inadequate in RRR Australia. #EnoughIsEnough,2021-04-27 10:00:49,Australia,[150.05434676 -32.83103996],"New South Wales, Australia"
In many rural towns we do not have 24hr policing. The ED at the local hospital is often the only option- that is if… https://t.co/SgfY4pRbbi,2021-04-27 09:59:19,Australia,[150.05434676 -32.83103996],"New South Wales, Australia"
Carrington McIntosh &amp; Scott (2013) research found that mining &amp; agricultural towns DV was one of a myriad of hidden… https://t.co/MNaXq6JTDG,2021-04-27 09:55:10,Australia,[150.05434676 -32.83103996],"New South Wales, Australia"
@PipRumble @AustWomenInAg @NatSommerville We are discussing a rural cultural change - call out racist mass sexist b… https://t.co/GGIEqKMJjp,2021-04-27 09:41:56,Australia,[150.05434676 -32.83103996],"New South Wales, Australia"
"Rural Women Safety discussion starting at 7:30pm. Please join us!
@AAAFarmer @RuralMH @SenatorNash @Nat_Irrigators… https://t.co/s8fBdAQKqI",2021-04-27 08:51:56,Australia,[150.05434676 -32.83103996],"New South Wales, Australia"
@Celery87961714 @t_coxsen @JPLonnieQ A group of friends &amp; started a series of #Pop_Up #HiVis protest against #VAW l… https://t.co/pKJlYSoBtq,2021-04-27 06:53:50,Gold Coast,[153.36936147 -27.95422176],"Gold Coast, Queensland"
There was a movie once where prisoners wore a collar that gently removed their head if they strayed. Just an idea..… https://t.co/nSeTBvICP3,2021-04-26 22:37:57,"Brisbane, Queensland",[152.99319654 -27.38214299],"Brisbane, Queensland"
This is the group we have started to get a women friendly govt into power and to harness the strength of the margin… https://t.co/WST1GSB4Sx,2021-04-26 10:37:21,"Sydney, Australia",[150.9319748 -33.848244 ],"Sydney, New South Wales"
Are you working on this @MichaelSukkarMP as Minister for the Homeless? Or will you ignore them and let them rot?… https://t.co/SY5zfz1UNo,2021-04-26 07:57:01,Melbourne,[152.9400645  -26.86268148],"Beerwah, Queensland"
"Isn't @AlboMP  a great guy to give civics lessons for free to the #LNPfail 
Paying any attention @ScottMorrisonMP… https://t.co/6ET22q8ywv",2021-04-26 07:28:51,Melbourne,[152.9400645  -26.86268148],"Beerwah, Queensland"
@JosieMcskimming @YaThinkN @RonniSalt We used to have rules about Prime Ministers not lying and misleading us as we… https://t.co/l9ONz5Bkgy,2021-04-26 07:26:05,Melbourne,[152.9400645  -26.86268148],"Beerwah, Queensland"
"The lessons of the Vietnam War demos are clear. March. Every month. In every capital. 
#EnoughIsEnough 
#ItsTime… https://t.co/ZxXiZV4bPT",2021-05-02 00:24:36,Melbourne,[145.05313534 -37.97256651],"Melbourne, Victoria"
"And how did #Deakins @MichaelSukkarMP vote? Opposed the banking RC. 
#auspol 
#LNPfail 
#AlboForPM https://t.co/lyrYqvQwvT",2021-04-30 19:12:45,Melbourne,[145.05313534 -37.97256651],"Melbourne, Victoria"
@ScottMorrisonMP must go!! #notmypm #Politics,2021-04-30 11:02:16,"Perth, Western Australia",[115.92831869 -32.15010042],"Perth, Western Australia"
"@CatPurry9 Think of the money he could save the health system.
Who would have guessed that we having a miracle work… https://t.co/LBDIGkjum1",2021-04-27 09:36:58,"Western Australia, Australia",[115.90503469 -32.95232947],"Yarloop, Western Australia"
"@_ClaireConnelly @tamepunk was the perfect choice as Australian of the Year.
That the government can't handle Grace… https://t.co/j5s0LOek78",2021-04-30 23:56:06,Reality,[145.05313534 -37.97256651],"Melbourne, Victoria"
@KafkaVoltaire @QandA Is this part of a #scottyfromarketing plan to sell of the ABC to lowest mate bid,2021-04-29 13:06:42,Sydney Australia,[150.9319748 -33.848244 ],"Sydney, New South Wales"
"@MikeCarlton01 My wife said out 22 year old son was beside himself yesterday.

We have told him we think it is… https://t.co/9mITGNRCY9",2021-04-28 12:52:47,Australia,[122.22044352 -17.95328876],"Broome, Western Australia"
@helendalton22 Why is our water in foreign hands ? Rivers cross state borders it's time it was controlled by the fe… https://t.co/840CVQYngg,2021-04-28 09:27:17,Perth WA ,[150.05434676 -32.83103996],"New South Wales, Australia"
"@AmyRemeikis You know what would be interesting - who else #scottyfromarketing met while in Darwin
I bet he popped… https://t.co/pO8RR4NJjP",2021-04-28 07:33:16,Reality,[145.05313534 -37.97256651],"Melbourne, Victoria"
"@CroweDM @Gallo_Ways Not at all surprised.

He is only #scottyfromarketing 
Not #scottytheachiever",2021-04-28 05:25:32,Australia,[122.22044352 -17.95328876],"Broome, Western Australia"
"@normanswan It's very important for #ScottyDoesNothing to also be #scottyfromarketing 

We must remember he conside… https://t.co/JPI3lNaCdk",2021-04-28 04:33:41,Australia,[122.22044352 -17.95328876],"Broome, Western Australia"
"I think McGowan is folding to public pressure on lockdowns and the intrusion , Libs are behind the massive scale so… https://t.co/Qi38qQYsBY",2021-05-02 09:46:04,"Perth, Western Australia",[115.92831869 -32.15010042],"Perth, Western Australia"
